passenger_count,year,Month,Day,Hour,dist,fare_amount
1,2015,1,1,13,2.323259482448895,24.482
1,2015,1,1,13,2.425352901548718,24.482
1,2011,10,5,11,0.6186278709678759,12.260000000000002
1,2012,12,5,21,1.9610325158768023,24.353
1,2012,12,5,21,5.387301253820666,24.353
1,2012,12,5,21,3.22254887779549,24.353
1,2011,10,3,12,0.929601309282431,21.9
1,2011,10,3,12,21.540101663971065,21.854
1,2011,10,3,12,3.8739616954557885,21.854
1,2014,2,1,15,1.099793909874918,25.182
1,2014,2,1,15,2.317685162256492,25.182
1,2014,2,1,15,4.819178700295348,25.182
1,2010,3,0,20,0.7226697051118751,13.059999999999999
1,2010,3,0,20,1.675503135971983,22.168
1,2011,10,3,3,2.5040323426212816,22.147
1,2011,10,3,3,5.115375166679051,22.147
1,2012,7,6,16,0.2988380401271887,11.440000000000001
1,2012,7,6,16,2.531147462068013,22.473000000000003
1,2012,7,6,16,0.7804444670385154,15.040000000000001
1,2012,7,6,16,0.4272819633446227,9.7
1,2014,10,2,2,1.651945503442093,24.546
1,2014,6,5,13,1.9692105476524073,24.844
1,2014,6,5,13,1.3054412544841278,24.844
1,2014,6,5,13,1.9012945033649662,24.844
1,2014,6,5,13,5.779720338025231,24.844
1,2014,6,5,13,1.1216865935049165,24.844
1,2014,6,5,13,14.30653963063099,24.844
1,2014,6,5,13,9.427870096337532,24.844
1,2014,6,5,13,1.1445286411121316,24.844
1,2014,6,5,13,4.696370725567247,24.844
1,2014,6,5,13,2.9003759364916903,24.844
1,2014,6,5,13,1.1820810573466303,24.844
1,2014,6,5,13,1.0706365886264495,24.844
1,2014,6,5,13,2.8740284418158457,24.844
1,2014,6,5,13,2.052893902947039,24.844
1,2014,6,5,13,1.5635401650063256,24.844
1,2014,6,5,13,1.1447352829549633,24.844
1,2014,6,5,13,0.9929954484269456,24.594
1,2014,6,5,13,1.5682222215043835,24.844
1,2014,6,5,13,0.7165179849412125,17.31
1,2014,6,5,13,7.06329087231629,24.844
1,2014,6,5,13,2.5786313725094394,24.844
1,2014,6,5,13,6.2561225826853,24.844
1,2014,6,5,13,2.368064492310508,24.844
1,2014,6,5,13,0.5881498378756124,16.5
1,2014,6,5,13,3.080871135233576,24.844
1,2014,6,5,13,0.8820916458474111,16.55
1,2014,6,5,13,1.2219799510600595,24.844
1,2014,6,5,13,1.0477616592556536,24.844
1,2014,6,5,13,0.6959397605573657,20.1
1,2014,6,5,13,3.016199860476309,24.844
1,2014,6,5,13,3.3951760456976574,24.844
1,2014,6,5,13,6.141891574883753,24.844
1,2014,6,5,13,1.1061662794331568,24.844
1,2014,6,5,13,1.337412962726517,24.844
1,2014,6,5,13,4.822818507644578,24.844
1,2014,6,5,13,3.629456835622164,24.844
1,2014,6,5,13,2.434649459761453,24.844
1,2014,6,5,13,3.8015627177192424,24.844
1,2014,6,5,13,3.8720506635811134,24.844
1,2014,6,5,13,1.3643575992865922,24.844
1,2014,6,5,13,2.61184103200042,24.844
1,2014,6,5,13,0.769570593344883,17.45
1,2014,6,5,13,0.8333679512700043,22.259999999999998
1,2014,6,5,13,1.5337952930273735,24.844
1,2014,6,5,13,1.3519040932406454,24.844
1,2014,6,5,13,2.6819235638813925,24.844
