"passenger_count","dist","pickup_mnth","pickup_yr","pickup_hour","fare_amount"
"1",2.32586207276851,"01","2015","13",25.0472795238095
"1",2.42806986021429,"01","2015","13",25.0472795238095
"1",0.619320877893307,"10","2011","11",13.9843770562771
"1",1.96322932784758,"12","2012","21",22.0732011470284
"1",5.39333628270801,"12","2012","21",22.0732011470284
"1",3.22615888114517,"12","2012","21",22.0732011470284
"1",0.930642678697648,"10","2011","12",21.918790036075
"1",21.5642315816577,"10","2011","12",21.7865983694084
"1",3.87830143248616,"10","2011","12",21.7865983694084
"1",1.10102593453899,"02","2014","15",22.49989
"1",2.32028150804256,"02","2014","15",22.49989
"1",4.82457729994752,"02","2014","15",22.49989
"1",0.723479263058921,"03","2010","20",16.5162026196026
"1",1.67738008870804,"03","2010","20",18.0001113064713
"1",2.50683744053829,"10","2011","03",19.706129047619
"1",5.12110557517959,"10","2011","03",19.706129047619
"1",0.299172808151945,"07","2012","16",13.4399160103785
"1",2.53398293521814,"07","2012","16",23.0267350218952
"1",0.781318746140894,"07","2012","16",25.3750002599904
"1",0.427760618403354,"07","2012","16",13.5438577458846
"1",1.65379606615636,"10","2014","02",22.4163147435897
"1",1.97141652091757,"06","2014","13",23.8601737280137
"1",1.30690365194726,"06","2014","13",23.8601737280137
"1",1.90342439488443,"06","2014","13",23.8601737280137
"1",5.786194967448,"06","2014","13",23.8601737280137
"1",1.12294314306038,"06","2014","13",23.8601737280137
"1",14.322566278464,"06","2014","13",23.8601737280137
"1",9.43843150096488,"06","2014","13",23.8601737280137
"1",1.1458107790665,"06","2014","13",23.8601737280137
"1",4.70163175175977,"06","2014","13",23.8601737280137
"1",2.90362503130619,"06","2014","13",23.8601737280137
"1",1.18340526273181,"06","2014","13",23.8601737280137
"1",1.0718359503174,"06","2014","13",23.8601737280137
"1",2.87724802131363,"06","2014","13",23.8601737280137
"1",2.05519362101164,"06","2014","13",23.8601737280137
"1",1.56529169320506,"06","2014","13",23.8601737280137
"1",1.14601765239633,"06","2014","13",23.8601737280137
"1",0.994107834004629,"06","2014","13",23.8601737280137
"1",1.56997899469462,"06","2014","13",23.8601737280137
"1",0.717320651532673,"06","2014","13",23.4080842042042
"1",7.07120339891375,"06","2014","13",23.8601737280137
"1",2.58152003866741,"06","2014","13",23.8601737280137
"1",6.2631308932916,"06","2014","13",23.8601737280137
"1",2.37071727465017,"06","2014","13",23.8601737280137
"1",0.588808702323397,"06","2014","13",17.7250933358569
"1",3.08432242659948,"06","2014","13",23.8601737280137
"1",0.883079793402962,"06","2014","13",24.0573037280137
"1",1.22334885247449,"06","2014","13",23.8601737280137
"1",1.04893539571406,"06","2014","13",23.8601737280137
"1",0.696719374758149,"06","2014","13",24.5279668232518
"1",3.01957870499144,"06","2014","13",23.8601737280137
"1",3.39897943157713,"06","2014","13",23.8601737280137
"1",6.14877192022514,"06","2014","13",23.8601737280137
"1",1.10740544263212,"06","2014","13",23.8601737280137
"1",1.3389111759291,"06","2014","13",23.8601737280137
"1",4.82822118472652,"06","2014","13",23.8601737280137
"1",3.63352267041101,"06","2014","13",23.8601737280137
"1",2.43737683273184,"06","2014","13",23.8601737280137
"1",3.80582135107483,"06","2014","13",23.8601737280137
"1",3.87638825981184,"06","2014","13",23.8601737280137
"1",1.36588599674164,"06","2014","13",23.8601737280137
"1",2.61476690069378,"06","2014","13",23.8601737280137
"1",0.770432691182424,"06","2014","13",24.7296592042042
"1",0.834301516968986,"06","2014","13",25.9813787280137
"1",1.5355135000598,"06","2014","13",23.8601737280137
"1",1.35341853987659,"06","2014","13",23.8601737280137
"1",2.68492794129014,"06","2014","13",23.8601737280137
"1",1.00531990947276,"06","2014","13",23.8601737280137
"1",0.557477895758029,"06","2014","13",17.5564369072854
"1",5.52649059228369,"06","2014","13",23.8601737280137
"1",1.23336747766705,"06","2014","13",23.8601737280137
"1",0.635290051141556,"06","2014","13",21.1032917042042
"1",2.90866285002204,"06","2014","13",23.8601737280137
"1",1.37198391699854,"06","2014","13",23.8601737280137
"1",2.47773233719908,"06","2014","13",23.8601737280137
"1",2.92762524498431,"06","2014","13",23.8601737280137
"1",16.0706733745638,"06","2014","13",23.8601737280137
"1",0.315656041044345,"06","2014","13",10.9233141137767
"1",0.45339664013614,"06","2014","13",16.1844816023115
"1",0.783825358136854,"06","2014","13",25.2297275375375
"1",1.10436417715462,"06","2014","13",23.8601737280137
"1",1.0782561861072,"06","2014","13",23.8601737280137
"1",1.53013630170539,"06","2014","13",23.8601737280137
"1",2.47279158799484,"06","2014","13",23.8601737280137
"1",6.01086159973487,"06","2014","13",23.8601737280137
"1",1.26462051723425,"06","2014","13",23.8601737280137
"1",0.459068683984299,"06","2014","13",16.3788982689782
"1",1.40159590705971,"06","2014","13",23.8601737280137
"1",5.15506901686808,"06","2014","13",23.8601737280137
"1",2.53490658760416,"06","2014","13",23.8601737280137
"1",2.64988596120079,"06","2014","13",23.8601737280137
